Phone Number,Message,Received,Spam
CP-MSHOTP ,Received,Your OTP for Meesho login is 0000 and is valid for 0000 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM0000bXKNc Meesho,0
CP-MYNTRA ,Received,"Explore the great deals @ Myntra's End Of Reason Sale
Buy 0000, Get 0000 Free, Rs.0000 Deals, Rs.0000 Deals & more
Add to wishlist now
smsd.in/lVKIos0000l",1
CP-MYNTRA ,Received,"Manisha, something big is coming!
Myntra's End Of Reason Sale starts at midnight
Get great offers on your 0000st order
Add to cart now
smsd.in/mf0000dUpvh",1
CP-MYNTRA ,Received,"Manisha, come back & save more
Get 0000-0000% + Extra Rs.0000 Off on your order
Use MISSYOU
Free Shipping @ Myntra's End Of Reason Sale
smsd.in/modVctt0000",1
CP-MYNTRA ,Received,"Manisha, this offer will expire @ midnight
Get 0000-0000% Off + Flat Rs.0000 Off on all your faves
Free Shipping @ Myntra's End Of Reason Sale
smsd.in/muKHPAtD",1
CP-MYNTRA ,Received,"Manisha, get an Extra item at Rs.0000
When you shop for Rs.0000 with Free Shipping
Myntra's End Of Reason Sale ends on June 0000
smsd.in/mBsLdNan",1
CP-MYNTRA ,Received,"Manisha, bring all your faves home
Buy 0000, Get 0000 Free | Shop now
Myntra's End Of Reason Sale ends tonight
smsd.in/mH0000NAh0000",1
CP-MYNTRA ,Received,"Manisha, owning your fave picks just got easier!
Buy 0000, Get 0000 Free on Myntra
Free Shipping @ Pay Day Sale
smsd.in/nxlLkAUj",1
JA-JioPay ,Received,"   0000  Rs. 0000.0000     .
 : Benefits: 
0000. UNLIMITED DATA - 0000 GB (0000.0000 GB/Day)  
0000. UNLIMITED CALLS
0000. 0000 SMS/Day
0000. Complimentary Jio Apps
Validity - 0000 days
  : BR0000JI0000CYK
      , https://www.jio.com/dl/my_plans   .
    , https://www.jio.com/en-in/jio-rech-exp-survey-marathi?custid=BR0000JI0000CYK  
  , ,          .",1
JA-JioPay ,Received,"   0000  Rs. 0000.0000      
      : Benefits: 
0000. UNLIMITED DATA - 0000 GB (0000.0000 GB/Day)  
0000. UNLIMITED CALLS
0000. 0000 SMS/Day
0000. Complimentary Jio Apps
Validity - 0000 days
  : BR0000JI0000CYK
             : https://www.jio.com/dl/my_plans
          https://www.jio.com/en-in/jio-rech-exp-survey-hindi?custid=BR0000JI0000CYK
  , ,              0000   ",1
JA-JioSvc ,Received,"Welcome to Jio-Maharashtra & Goa. Kindly enable Data Roaming to use data services. Data, Voice & SMS benefits will be as per your plan.",0
JD-620014 ,Received,"   '    ' JioTV 
https://bit.ly/SMSJioTV0000",1
JD-620014 ,Received,"          JioTV 
https://bit.ly/SMSJioTV0000",1
JD-620014 ,Received,"        JioTV 
https://bit.ly/BALH0000",1
JD-620016 ,Received," Jio  0000          |   .0000       , 0000.0000 GB ,   0000   |      www.jio.com/r/wildBhtln |    ",1
JD-620038 ,Received,"       ,             
  .0000/  
        www.jio.com/r/wmf0000Mc0000r   !",1
JD-620038 ,Received,Wanna be a Pro Chef? JioFiber gets you Free access to a multitude of Food & Recipe Apps. Explore your Culinary Skills on JioFiber. Plans starting at just Rs.0000/Month. Click www.jio.com/r/wmudZq0000gT to Book your JioFiber plan Now!,1
JD-ATMSBI ,Received,"Dear Customer, transaction number 0000 for Rs.0000.0000 by SBI Debit Card X0000 done at 0000 on 0000Jul0000 at 0000:0000:0000. Your updated available balance is Rs.0000.0000. If not done by you, forward this SMS to 0000/ call 0000/0000 to block card. GOI helpline for cyber fraud 0000.",0
JD-HIMSML ,Received,"Dear Customer, Redeem your AXIS/AMEX/IDFC/KOTAK Cr Card points at Himalaya STORES. Visit your nearest outlet now and use your card points as cash. T&C -Himalaya",1
JD-JIOINF ,Received,We hope you are happy with the products & services of Jio. Please spare a moment to share your experience with us. Click https://t.jio/VVqDp to share.,1
JD-JIOJCN ,Received,"Dear User,

Youve earned RummyCircle Get Upto Rs.0000 Welcome Bonus on Special. Click on https://t.jio/winnings-RUMU0000K to claim your coupon! T&C

Team JioCoupon",1
JD-JIOSVC ,Received,"Congratulations 0000G device user!
You are now 0000 step closer to getting the Jio True 0000G Welcome Offer.
We will inform you once the TRULY UNLIMITED 0000G DATA is ready for use.
In the meantime, please ensure that your mobile device is updated to latest software version.
To know how, click ?https://youtu.be/jskWALw0000qtg",0
JD-KOTAKA ,Received,"Dear Customer, want to save without the pressure of monthly balance? Switch to Kotak0000 zero balance account now: https://kotk.in/Wfj0000X -KBank",1
JD-MEESHO ,Received,Yay! DELICATE 0000 GRAM GOLD has been delivered. Please rate your product-quality experience here sprw.io/sntt-0000b?o_id=qzxggiagxa Meesho,1
JD-MEESHO ,Received,"Yay, Pure cotton.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/CMkLP0000hing
Meesho",1
JD-MYNTRA ,Received,"Manisha, Myntra Curtain Raiser is Live now
Sale prices are revealed | Explore the best of offers
Shop now
0000kx.in/TFKaQL",1
JD-MYNTRA ,Received,"Manisha, get more, pay less!
Buy 0000, Get 0000 Free @ Myntra | Bring all your faves home
Shop now @ Myntra's End Of Reason Sale
0000kx.in/yVgX0000e",1
JD-MYNTRA ,Received,"Manisha, get an Extra item at Rs.0000
When you shop for Rs.0000 with Free Shipping
Shop now @ Myntra's End Of Reason Sale
0000kx.in/HJULpk",1
JD-MYNTRA ,Received,"Manisha, get your fave brands at unbelievable prices!
Get Extra Rs. 0000 Off & more deals
Shop now @ Myntra's End Of Reason Sale
0000kx.in/HmCixV",1
JD-NYKAAX ,Received,"Hi, wanna hit the JACKPOT? Play & WIN coupons on Wanderlust, Nivea & more!

Redeem them @Nykaa's Pink Summer Sale, HURRY.

GO NOW! ct0000.io/M0000npFA",1
JD-NYKAAX ,Received,"Hi! NYKAA PINK SUMMER SALE IS LIVE!
Get UPTO 0000% OFF on 0000+ brands like Lakme, Maybelline, Plum & more! Offers change daily!

HURRY: ct0000.io/RamUHP",1
JD-NYKAAX ,Received,"Hi, NOW unlock great skin with FLAT 0000% OFF!

Hurry, grab bestselling Sunscreens, Serums & more only @Nykaa's Pink Summer Sale!

GO: ct0000.io/RGTe0000P",1
JD-WTITAN ,Received,Flash sale!Rs 0000 off*on min buy of Rs 0000 till 0000 June. Show the message to avail offer at TITAN WORLD store near you https://anyl.in/p/k0000wLOOy,1
JD-WTITAN ,Received,Time to shop! Flat 0000-0000% off on TITAN WORLD STORE. Get additional 0000 off on showing the screenshot at store near you,1
JK-620038 ,Received,Wanna be a Pro Chef? JioFiber gets you Free access to a multitude of Food & Recipe Apps. Explore your Culinary Skills on JioFiber. Plans starting at just Rs.0000/Month. Click www.jio.com/r/wm0000ZJKhG0000 to Book your JioFiber plan Now!,1
JK-620040 ,Received,"  .0000    0000.0000   ,  , 0000    |      www.jio.com/r/wjkHvbv0000X",1
JK-ATMSBI ,Received,"Dear Customer, transaction number 0000 for Rs.0000.0000 by SBI Debit Card X0000 done at UTIS0000I0000 on 0000Jun0000 at 0000:0000:0000. Your updated available balance is Rs.0000.0000. If not done by you, forward this SMS to 0000/ call 0000/0000 to block card. GOI helpline for cyber fraud 0000.",0
JK-JIOJCN ,Received,"Dear User,

Youve earned up to Rs.0000 Welcome Bonus from A0000 Rummy on MyJioRecharge. Click on https://t.jio/winnings-A0000NOV to claim your coupon! T&C

Team JioCoupon",1
JK-MEESHO ,Received,"Yay, SANTIPUR PURE.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/yH0000NZrA
Meesho",0
JK-MEESHO ,Received,"Yay, DELICATE 0000.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/BMicOpUy_w
Meesho",0
JK-MEESHO ,Received,"Hi, your Refund of Rs.0000 for sub_order_id 0000_0000 is successfully processed. Transaction no. meesho-MRFE0000QPT0000IH0000SJMUA-0000 - Team Meesho
How was your Meesho Return experience? Please rate us here sprw.io/sntt-0000fa?o_id=qzxggiagxa&tag=manual",0
JK-MEESHO ,Received,"Refund for Dharti Fashion of Rs.0000 is successfully processed to your Original Payment Source. Ref No meesho-MRRW0000LE0000H0000XBYGL0000XHTQ-0000
Meesho",0
JK-MEESHO ,Received,"Sorry your recent order of Dharti Fashion Golde got cancelled. Please click here to share your feedback sprw.io/sntt-0000fcd0000f?sprw.io/sntt-0000fcd0000f?o_id=

Meesho",0
JK-MEESHO ,Received,"Yay, Dharti Fashion.. & other items have been delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/DMjmMSjIsg
Meesho",0
JM-620014 ,Received,"   '  '  JioTV 
https://bit.ly/SMSJioTV0000",1
JM-620014 ,Received,"       JioTV 
https://bit.ly/SMSJioTV0000",1
JM-620014 ,Received," WWE    JioTV 
https://bit.ly/SMSJioTV0000",1
JM-620016 ,Received," Jio  0000          |   .0000       , 0000.0000 GB ,   0000   |      www.jio.com/r/wiCwW0000mbd |    ",1
JM-620038 ,Received,"Get JioFiber and enjoy Free access to multiple News Papers & Magazine with Jio News in English & Local Languages.
Plans starting at just Rs.0000/Month.
Click www.jio.com/r/wk0000bb0000s0000I to Book your JioFiber plan Now!",1
JM-620038 ,Received,"Get JioFiber and enjoy Free access to multiple News Papers & Magazine with Jio News in English & Local Languages.
Plans starting at just Rs.0000/Month.
Click www.jio.com/r/wlODe0000usB to Book your JioFiber plan Now!",1
JM-JIOINF ,Received," Jio ,
 !
   Jio    ,   0000 Gbps     TRULY UNLIMITED 0000G   
Jio TRUE 0000G         :
0000. ->    ->           
0000.  ->  ->  ->->  0000G    0000G  
https://youtu.be/glqtACtRUDI
Jio      ",1
JM-JIOINF ,Received," Jio ,
 iPhone Jio True 0000G    
 Jio Welcome Offer             0000 Gbps      TRULY UNLIMITED 0000G      
 0000 :   >  >         
 0000:    0000G -   ,  >   >    (   )    Jio     (     )
    > 0000G  ",1
JM-JIOINF ,Received,"Dear Jio user,
Congratulations!
Your number has received the Jio Welcome Offer and you can use TRULY UNLIMITED 0000G data with upto 0000 Gbps speeds, at no additional cost.
Kindly do the following to experience JioTrue0000G:
0000. Update the latest software of your device by going to Settings->About Device->Software Update
0000. Kindly activate 0000G by going to Settings->Mobile Network->SIM->Network Type 0000G
https://youtu.be/jskWALw0000qtg
With Love,
From Jio",0
JM-JIOINF ,Received,"   !              
  0000       Jio    https://bit.ly/0000nKloev",1
JM-JIOINF ,Received,   0000   0000-0000-0000                   www.jio.com/r/LwcNcPhaA     0000    ,1
JM-JIOINF ,Received,   0000   0000-0000-0000                   www.jio.com/r/LwQDVyuCr     0000    ,1
JM-JIOINF ,Received," Jio ,
       Jio TRUE 0000G      
            Jio TRUE 0000G       ,  0000      Jio     
Jio      ",1
JM-JIOINF ,Received,   0000   0000-0000-0000                   www.jio.com/r/Lxt0000DNuI     0000    ,1
JM-JIOPAY ,Received,"Your current plan Rs 0000-0000m-0000.0000GB/D for Jio number 0000 will expire on 0000-Jun-0000 0000:0000 Hrs. After current plan expiry, your services will stop working if you do not recharge with a plan. 
To recharge, click https://www.jio.com/selfcare/recharge 
Dial 0000, to know your current balance, validity, plan details and for exciting recharge plans.",0
JM-JIOPAY ,Received,"Jio  0000      Rs 0000-0000m-0000.0000GB/D 0000-Jun-0000 0000:0000 Hrs          ,                  
    https://www.jio.com/selfcare/recharge   
  , ,          0000  ",0
JM-JIOPAY ,Received,"Jio  0000    Rs 0000-0000m-0000.0000GB/D    0000-Jun-0000 0000:0000 Hrs   .
    ,      .
 , https://www.jio.com/selfcare/recharge   
  , ,           0000  .",0
JM-JIOPAY ,Received,"Your plan Rs 0000-0000m-0000.0000GB/D for Jio Number 0000 has expired on 0000-Jun-0000 0000:0000 Hrs. To continue enjoying Jio services, recharge immediately. 
To recharge, click https://www.jio.com/selfcare/recharge
Dial 0000, to know your current balance, validity, plan details and for exciting recharge plans.",0
JM-JIOPAY ,Received," Jio  0000  Rs 0000-0000m-0000.0000GB/D  0000-Jun-0000 0000:0000 Hrs    . Jio    ,   .
 , https://www.jio.com/selfcare/recharge   
  , ,           0000  .",0
JM-JIOPAY ,Received,"Jio  0000     Rs 0000-0000m-0000.0000GB/D 0000-Jun-0000 0000:0000 Hrs      Jio       ,   
    https://www.jio.com/selfcare/recharge   
  , ,          0000  ",0
JM-JioSvc ,Received,"For seamless data experience across the country, set the 'Data Roaming' as On/Always.
To know 'How to Set up Jio Network' on mobile, click https://youtu.be/o0000LboDi0000ho
To know your number, track balance & usage, give a missed call to 0000.",0
JM-MEESHO ,Received,"Refund for Dharti Fashion of Rs.0000 is successfully processed to your Original Payment Source. Ref No meesho-MRRWX0000M0000H0000XBYGL0000W0000FA-0000
Meesho",0
JM-MEESHO ,Received,"Refund for Dharti Fashion of Rs.0000 is successfully processed to your Original Payment Source. Ref No meesho-MRRWZUAILO0000TU0000ES0000GNQ-0000
Meesho",0
JM-MEESHO ,Received,Yay! Dharti Fashion Golde has been delivered. Please rate your product-quality experience here sprw.io/sntt-0000b?o_id=gakqMzqzMg Meesho,0
JM-RBISAY ,Received,"          ,    /-         . -RBI",1
JX-620014 ,Received," '  ' JioTV 
https://bit.ly/SMSJioTV0000",1
JX-620014 ,Received,"      JioTV 
https://bit.ly/SMSJioTV0000",1
JX-620014 ,Received,"    JioTV 
https://bit.ly/SMSJioTV0000",1
JX-620014 ,Received,"   !   JioTV  
https://bit.ly/IIFA0000",1
JX-620016 ,Received," Jio  0000          |   .0000       , 0000.0000 GB ,   0000   |      www.jio.com/r/wiVhtZTHT |    ",1
JX-620038 ,Received,"       ,             
  .0000/  
        www.jio.com/r/wlADGuNPk   !",1
JX-620038 ,Received,       ?                           Rs.0000/           www.jio.com/r/wmUxs0000jdm   !,1
JX-620040 ,Received,"  .0000    0000.0000   ,  , 0000    |      www.jio.com/r/wjEHN0000ZVt",1
JX-BFDLPS ,Received,"A/C Update: Your Personal Loan offer of Rs. 0000 is approved. Avail now and get it disbursed in just 0000 mins http://nc0000.in/g0000NEmo
T&C
Bajaj MARKETS",1
JX-DOTMUM ,Received,The CEIR portal facilitates mobile phone users for reporting/blocking/unblocking and retrieval of lost or stolen mobile phones. Please visit https://www.ceir.gov.in,1
JX-DOTMUM ,Received,"      ,           ,        0000/0000  .",1
JX-ITCDTC ,Received,"Dear shopper, Looking for groceries online? We've got you covered.Use code- NW0000 & get Extra 0000% OFF* on ITC's products. https://anyl.in/p/P0000vg0000R0000 T&C Apply  - ITC",1
JX-JioPay ,Received,"Recharge of Rs. 0000.0000 is successful for your Jio number 0000.
Entitlement: Benefits: 
0000. UNLIMITED DATA - 0000 GB (0000.0000 GB/Day)  
0000. UNLIMITED CALLS
0000. 0000 SMS/Day
0000. Complimentary Jio Apps
Validity - 0000 days
Transaction ID: BR0000JI0000CYK
To view details of your current and upcoming plan, click https://www.jio.com/dl/my_plans
To share your recharge experience, click https://www.jio.com/en-in/jio-rech-exp-survey?custid=BR0000JI0000CYK
Dial 0000, to know your current balance, validity, plan details and for exciting recharge plans.",0
JX-KAMAAY ,Received,"Your Kama Ayurveda Reward is Unlocked!
FLAT 0000% OFF on your first purchase.
Valid at the OBEROI Mall store.
Call 0000
*T&C",1
JX-MEESHO ,Received,"Yay, Pure cotton.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/CskK_Mqahg
Meesho",0
JX-MYNTRA ,Received,"Manisha, the last day of the sale calls for this superb offer
Get 0000-0000% + Extra Rs.0000 Off till midnight
Only @ Myntra Fashion Carnival
0000kx.in/jlmFKp",1
JX-REGINF ,Received,"Important information - TRAI does not provide any NOC for installing mobile towers. If a fraudster brings a fake letter to you, inform the concerned service provider and the local police.",0
JX-REGINF ,Received,"  !            , -,   https://www.csk.gov.in  ""   ""       -  ",1
JX-REGINF ,Received,"Narcotics Control Bureau, Mumbai Zone requests you to join the fight against drug abuse & illicit trafficking. Please click on e-pledge link and unite against the drug consumption. Download the certificate from https://pledge.mygov.in/fightagainstdrugabuse/ and share with friends and family.",1
JX-TRAIND ,Received,      0000G             /    //            0000G                  ,1
TM-ECOMEX ,Received,Your prepaid shipment is out for delivery - Share code 0000 to receive the shipment. Call 0000 to connect directly with agent - Ecom Express,0
TM-MEESHO ,Received,"Return pickup for DELICATE 0000.. will be done by 0000 May. For more details, track here https://ltl.sh/AsicPdqYyA - Meesho",0
TM-MEESHO ,Received,"Refund for DELICATE 0000 of Rs.0000 is successfully processed to your Original Payment Source. Ref No meesho-MRFE0000QPT0000IH0000SJMUA-0000
Meesho",0
TM-MEESHO ,Received,Pickup for DELICATE 0000.. done. Refund will be credited to your original payment method by 0000 May. Track here https://ltl.sh/CMie0000L0000pog - Meesho,0
TX-SFXFWD ,Received,Shadowfax rider 0000 will deliver your Meesho order AWB SF0000FPL today. Attempt code 0000 Visit https://lnk.shadowfax.in/0000es0000Abg,0
TX-SFXFWD ,Received,ARRIVING TODAY 0000com-0000-0000 from Meesho AWB SF0000FPL. Give CODE 0000 to Shadowfax rider 0000.Track lnk.shadowfax.in/gfcRSexW,0
TX-SWIGGY ,Received,Use OTP 0000 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel. ASkSzFWMk0000x,0
VD-028880 ,Received,"Amazing offers @ Aptronix!
iPhone 0000 @ Flat Rs.0000K OFF*
iPhone 0000 @ Flat Rs.0000K OFF*
Incl. of HDFC Cashback
0000 | Shop:bit.ly/0000p0000TsFB
T&C apply
Aptronix",1
VD-551930 ,Received,BEAT THE HEAT! Get 0000% off on Himalaya Wellness products at min. bill of INR 0000 & also get a wet wipe free. Hurry! Offer valid till 0000-Jun-0000. T&C -Himalaya,1
VD-554044 ,Received,"Unlock Your Beauty Reward at Kama Ayurveda!
FREE 0000-pc SAMPLER SET on ALL purchases TODAY at the Inorbit Malad store.
Call 0000 *T&C",1
VD-590101 ,Received,ZODIAC Presents A Range Of Linen Shirts In The Colours Of An Italian Summer. Previewing @ Viviana Mall Ph: 0000,1
VK-ATMSBI ,Received,"Dear Customer, transaction number 0000 for Rs.0000.0000 by SBI Debit Card X0000 done at 0000 on 0000May0000 at 0000:0000:0000. Your updated available balance is Rs.0000.0000. If not done by you, forward this SMS to 0000/ call 0000/0000 to block card. GOI helpline for cyber fraud 0000.",0
VK-ATMSBI ,Received,"Dear Customer, transaction number 0000 for Rs.0000.0000 by SBI Debit Card X0000 done at CPMD0000 on 0000Jul0000 at 0000:0000:0000. Your updated available balance is Rs.0000.0000. If not done by you, forward this SMS to 0000/ call 0000/0000 to block card. GOI helpline for cyber fraud 0000.",0
VK-RBISAY ,Received,   //-    .        . -RBI,1
VK-RBISAY ,Received,"             ,    /- . -RBI",1
VK-SBIMUM ,Received,"Dear SBI Customer, Download YONO-Mobile Banking App & use YONO CASH-Cardless ATM Cash Withdrawal facility. For help contact Branch or mail yono.lhomum@sbi.co.in",0
VM-028880 ,Received,"Aptronix - Breaking Budget Barriers
Buy any MacBook starting at a Net Exchange Effective price of 0000K
M: 0000 | Store: bit.ly/0000nc0000
*T&C apply
Aptronix",1
VM-581888 ,Received,"Celebrate this Akshaya Tritiya with ORRA's Exclusive Offers. Get 0000% Off* on Diamond Jewellery & a FREE Shagun Gold Coin (on Min txn of Rs. 0000,0000). Avail 0000% Downpayment & 0000% EMI facility + 0000% Cashback on SBI Credit Card till 0000 Apr'0000. 0000. T&C*",1
VM-590101 ,Received,"ZODIAC Presents A Range Of Linen Shirts In The Colours Of An Italian Summer. Previewing @ R Mall, Mulund Ph: 0000",1
VM-895674 ,Received,BUY 0000 GET 0000 FREE is here on 0000th May at Starbucks.You heard it right! Get a free beverage on the purchase of another.Join us & enjoy your fav.T&C -TATA STARBUCKS,1
VM-ATMSBI ,Received,"Dear Customer, Please get FREE Mini Statements from SBI ATMs. Mini Statement taken from your A/c.X0000 at SBI ATM S0000BG0000 on 0000Apr0000. Transaction Number 0000. If not done by you, SMS BLOCK <last 0000 digits of card> to 0000 or call 0000 or 0000 to block your card.",0
VM-ATMSBI ,Received,Use your SBI Debit Card for making payments at merchant outlets to earn reward points. Also earn cashback/discount offers from time to time. T&C apply.,0
VM-BFDLPS ,Received,"A/C Update 0000Apr:
Get EMI as low as Rs.0000/Lac on Personal Loan of Rs. 0000 from Bajaj Markets.
Avail now http://nc0000.in/dliT0000E
T&C",1
VM-BFDLPS ,Received,"Dear customer, Apply for pre approved BPCL SBI Card and save upto Rs 0000 when you tank up at any BPCL petrol pump. Click here http://nc0000.in/eJ0000MiO
 T&C Bajaj MARKETS",1
VM-BFDLPS ,Received,"Hurry!
Get your salaried personal loan of Rs.0000 with lower EMI & flexi tenor on Bajaj Markets. Click http://nc0000.in/f0000vnhf
T&C",1
VM-GETFIT ,Received,Get 0000 Week Free Trial + Custom diet + Advanced Ayurveda = 0000kg lighter you! Transform yourself with Health Total by Anjali Mukerjee. Give missed call 0000,1
VM-HIMMSG ,Received,"Dear Customer, Grab your fave Himalaya products & get 0000% OFF & a Complimentary product. Limited period Offer. *T&C -Himalaya",1
VM-NIGMNG ,Received,"Dear Customer,
Rs. 0000,0000* Bonus by Spinning the Wheel.
Chance to Participate in Rs. 0000,0000,0000,0000 (0000 Cr) Tournament.
Click - http://0000kx.in/gT0000nDU NIRA Gamings",1
VM-RBISAY ,Received, /     .  //-        . -RBI,1
VM-RBISAY ,Received, /      .        . -RBI,1
